,neurons,layers,learn_rate,epochs,hys_score,hys_mse,hys_mape,time
0,10,1,0.1,1000,0.9836278557777405,0.016134751960635185,0.5124476552009583,2025-11-12 17:59:41.994642
0,10,1,0.01,1000,0.9500544667243958,0.047609489411115646,1.1937942504882812,2025-11-12 17:59:45.457652
0,10,2,0.1,1000,0.974320650100708,0.026838598772883415,0.7722993493080139,2025-11-12 17:59:50.591731
0,10,2,0.01,1000,0.9351804256439209,0.06043383851647377,0.8987232446670532,2025-11-12 17:59:56.807055
0,10,3,0.1,1000,0.9796735048294067,0.02035682089626789,0.806094229221344,2025-11-12 18:00:04.289030
0,10,3,0.01,1000,0.938640296459198,0.05626840144395828,1.2376840114593506,2025-11-12 18:00:11.285499
0,10,4,0.1,1000,0.923678457736969,0.066154345870018,1.0259777307510376,2025-11-12 18:00:19.756544
0,10,4,0.01,1000,-312.29541015625,0.945604681968689,72.67547607421875,2025-11-12 18:00:27.784121
0,10,5,0.1,1000,0.9792420864105225,0.021312767639756203,1.521745204925537,2025-11-12 18:00:37.466624
0,10,5,0.01,1000,-3249336.75,1.0155558586120605,339.4517822265625,2025-11-12 18:00:45.842510
0,10,6,0.1,1000,0.9703657627105713,0.030077874660491943,1.8408523797988892,2025-11-12 18:00:54.391298
0,10,6,0.01,1000,-4161619.0,1.0160770416259766,329.76202392578125,2025-11-12 18:01:03.534184
0,10,7,0.1,1000,0.6363879442214966,0.2661788761615753,1.139541506767273,2025-11-12 18:01:14.059778
0,10,7,0.01,1000,-30818004.0,1.016036868095398,311.5023498535156,2025-11-12 18:01:33.863776
0,10,8,0.1,1000,-11691287552.0,1.0160870552062988,312.6006774902344,2025-11-12 18:01:51.169906
0,10,8,0.01,1000,-1460078976.0,1.0160925388336182,320.91033935546875,2025-11-12 18:02:03.917527
0,10,9,0.1,1000,-18324672.0,1.0158690214157104,322.9232482910156,2025-11-12 18:02:26.796968
0,10,9,0.01,1000,-21224712192.0,1.016101360321045,311.59259033203125,2025-11-12 18:02:46.092430
0,10,10,0.1,1000,-1490171776.0,1.01607346534729,310.0542297363281,2025-11-12 18:03:00.711186
0,10,10,0.01,1000,-343512219648.0,1.0160934925079346,312.0940856933594,2025-11-12 18:03:59.033551
0,15,1,0.1,1000,0.9876402616500854,0.012310083024203777,0.5675411820411682,2025-11-12 18:04:19.497450
0,15,1,0.01,1000,0.9567966461181641,0.04128420725464821,0.7758442163467407,2025-11-12 18:04:33.131749
0,15,2,0.1,1000,0.9786308407783508,0.01998082362115383,0.9506028890609741,2025-11-12 18:05:02.978506
0,15,2,0.01,1000,0.9536535143852234,0.044279929250478745,1.0921810865402222,2025-11-12 18:05:33.256438
0,15,3,0.1,1000,0.9818118214607239,0.01803497225046158,0.8350746631622314,2025-11-12 18:06:10.077461
0,15,3,0.01,1000,0.9581108093261719,0.04017410799860954,1.5248024463653564,2025-11-12 18:06:44.994997
0,15,4,0.1,1000,0.9626514911651611,0.03567441925406456,5.716320514678955,2025-11-12 18:07:28.396119
0,15,4,0.01,1000,-41176.2578125,1.0093563795089722,794.25,2025-11-12 18:07:38.203570
0,15,5,0.1,1000,0.9778960943222046,0.022476734593510628,0.8025540709495544,2025-11-12 18:07:49.611529
0,15,5,0.01,1000,-54.04888916015625,0.8386005759239197,23.521364212036133,2025-11-12 18:08:00.027100
0,15,6,0.1,1000,0.9657559990882874,0.03602723404765129,0.6990945339202881,2025-11-12 18:09:07.704800
0,15,6,0.01,1000,-158269.84375,1.0146617889404297,2123.95068359375,2025-11-12 18:10:32.236333
0,15,7,0.1,1000,0.9298399090766907,0.07596118003129959,1.4942129850387573,2025-11-12 18:11:53.672410
0,15,7,0.01,1000,-70296496.0,1.0161256790161133,311.2265319824219,2025-11-12 18:12:21.844558
0,15,8,0.1,1000,-37569.87890625,1.0094926357269287,1094.6932373046875,2025-11-12 18:12:39.093041
0,15,8,0.01,1000,-42149420.0,1.015933871269226,305.09466552734375,2025-11-12 18:13:06.660193
0,15,9,0.1,1000,-2112009728.0,1.016066312789917,314.72906494140625,2025-11-12 18:13:25.695657
0,15,9,0.01,1000,-690345984.0,1.0160980224609375,312.0505065917969,2025-11-12 18:13:51.282467
0,15,10,0.1,1000,-28217442304.0,1.0160932540893555,312.3919982910156,2025-11-12 18:14:14.393241
0,15,10,0.01,1000,-5112669184.0,1.0160939693450928,311.9164733886719,2025-11-12 18:14:38.618005
0,20,1,0.1,1000,0.9887236952781677,0.0112476060166955,0.371071994304657,2025-11-12 18:14:43.186760
0,20,1,0.01,1000,0.9597718119621277,0.03865787759423256,4.073026180267334,2025-11-12 18:14:47.702491
0,20,2,0.1,1000,0.9862083196640015,0.013653024099767208,1.075424313545227,2025-11-12 18:14:56.552760
0,20,2,0.01,1000,0.9478294849395752,0.04953070729970932,0.8884095549583435,2025-11-12 18:15:06.204042
0,20,3,0.1,1000,0.9755434989929199,0.023771829903125763,0.7189005613327026,2025-11-12 18:15:15.584705
0,20,3,0.01,1000,0.9510936737060547,0.04638180136680603,0.7960626482963562,2025-11-12 18:15:30.309837
0,20,4,0.1,1000,0.9850941300392151,0.014428667724132538,0.697511613368988,2025-11-12 18:15:44.338894
0,20,4,0.01,1000,0.9003918766975403,0.08806580305099487,1.4081335067749023,2025-11-12 18:15:57.593040
0,20,5,0.1,1000,0.9765371084213257,0.023196501657366753,0.5660164952278137,2025-11-12 18:16:14.311236
0,20,5,0.01,1000,-1231802.25,1.0152288675308228,535.2191162109375,2025-11-12 18:16:30.583468
0,20,6,0.1,1000,0.9706862568855286,0.027936667203903198,0.6558765172958374,2025-11-12 18:16:54.891013
0,20,6,0.01,1000,-146564.859375,1.0132336616516113,1965.8065185546875,2025-11-12 18:17:12.429646
0,20,7,0.1,1000,0.91477370262146,0.09347140043973923,2.3114101886749268,2025-11-12 18:17:34.727443
0,20,7,0.01,1000,-1171915008.0,1.0160869359970093,318.5933837890625,2025-11-12 18:18:31.523883
0,20,8,0.1,1000,0.9442982077598572,0.04858272895216942,1.008752465248108,2025-11-12 18:19:54.824048
0,20,8,0.01,1000,-59507448.0,1.01593816280365,324.18896484375,2025-11-12 18:21:15.190204
0,20,9,0.1,1000,-1556578816.0,1.0160577297210693,313.8893737792969,2025-11-12 18:22:15.174109
0,20,9,0.01,1000,-4496029696.0,1.0160961151123047,311.44061279296875,2025-11-12 18:22:56.236341
0,20,10,0.1,1000,-4117972736.0,1.0160847902297974,312.47210693359375,2025-11-12 18:23:34.812683
0,20,10,0.01,1000,-21543344128.0,1.016095757484436,313.0076599121094,2025-11-12 18:24:06.283727
0,25,1,0.1,1000,0.9891480207443237,0.01084850449115038,0.5356085300445557,2025-11-12 18:24:14.242099
0,25,1,0.01,1000,0.9542806148529053,0.04372826963663101,0.9310235977172852,2025-11-12 18:24:23.419615
0,25,2,0.1,1000,0.9818106293678284,0.01742839440703392,2.828861713409424,2025-11-12 18:24:34.044211
0,25,2,0.01,1000,0.964032769203186,0.03462270647287369,1.4748176336288452,2025-11-12 18:24:46.843427
0,25,3,0.1,1000,0.9866175651550293,0.013497083447873592,0.49160605669021606,2025-11-12 18:25:00.769699
0,25,3,0.01,1000,0.9462820291519165,0.05110834166407585,1.0170753002166748,2025-11-12 18:25:16.479258
0,25,4,0.1,1000,0.9827088713645935,0.01743186078965664,0.5324533581733704,2025-11-12 18:25:32.580040
0,25,4,0.01,1000,-19.774738311767578,0.7207282781600952,11.74542236328125,2025-11-12 18:25:48.442259
0,25,5,0.1,1000,0.9833054542541504,0.016758468002080917,0.5127524733543396,2025-11-12 18:26:08.519882
0,25,5,0.01,1000,-3801.228515625,0.9911080598831177,250.45477294921875,2025-11-12 18:26:27.565608
0,25,6,0.1,1000,0.9768500328063965,0.022142739966511726,0.5865066051483154,2025-11-12 18:26:51.446135
0,25,6,0.01,1000,-332007.1875,1.0141923427581787,1889.7718505859375,2025-11-12 18:27:16.229443
0,25,7,0.1,1000,0.9585351347923279,0.04044297710061073,1.769771695137024,2025-11-12 18:27:54.997060
0,25,7,0.01,1000,-11349767.0,1.0158071517944336,333.8728942871094,2025-11-12 18:28:34.758667
0,25,8,0.1,1000,0.8851211667060852,0.09993442893028259,1.277631163597107,2025-11-12 18:29:30.442089
0,25,8,0.01,1000,-336565120.0,1.0160536766052246,316.7792663574219,2025-11-12 18:30:37.646569
0,25,9,0.1,1000,-14308714496.0,1.01609468460083,312.868896484375,2025-11-12 18:31:50.296212
0,25,9,0.01,1000,-587585600.0,1.016066312789917,312.5921936035156,2025-11-12 18:33:04.457661
0,25,10,0.1,1000,-11658977280.0,1.0160858631134033,312.0804748535156,2025-11-12 18:34:25.922866
0,25,10,0.01,1000,-11228826624.0,1.016093373298645,312.10919189453125,2025-11-12 18:35:45.889382
0,30,1,0.1,1000,0.9913267493247986,0.008675280958414078,0.5043327212333679,2025-11-12 18:36:07.962957
0,30,1,0.01,1000,0.9642772078514099,0.03451967239379883,1.0367836952209473,2025-11-12 18:36:29.932615
0,30,2,0.1,1000,0.986463725566864,0.013465910218656063,0.469435453414917,2025-11-12 18:37:01.048078
0,30,2,0.01,1000,0.9652458429336548,0.03382385894656181,0.7838425040245056,2025-11-12 18:37:32.055204
0,30,3,0.1,1000,0.9854340553283691,0.014155382290482521,0.6575961112976074,2025-11-12 18:38:12.315933
0,30,3,0.01,1000,0.9523496627807617,0.04533587396144867,0.9151254892349243,2025-11-12 18:38:52.242498
0,30,4,0.1,1000,0.9850039482116699,0.015140613541007042,0.706709623336792,2025-11-12 18:39:40.706469
0,30,4,0.01,1000,0.9399915933609009,0.056443825364112854,1.9776684045791626,2025-11-12 18:40:29.833224
0,30,5,0.1,1000,0.9822931885719299,0.017134038731455803,0.5878405570983887,2025-11-12 18:41:27.117216
0,30,5,0.01,1000,0.9021413326263428,0.08545490354299545,0.9545581936836243,2025-11-12 18:42:25.166253
0,30,6,0.1,1000,0.9765603542327881,0.024136140942573547,0.8404944539070129,2025-11-12 18:43:32.340694
0,30,6,0.01,1000,-376517.5,1.0136722326278687,1616.1981201171875,2025-11-12 18:44:37.320137
0,30,7,0.1,1000,0.9760928153991699,0.024308543652296066,0.6174259185791016,2025-11-12 19:21:02.034937
0,30,7,0.01,1000,-8092091.0,1.016008973121643,316.951416015625,2025-11-12 19:21:33.766226
0,30,8,0.1,1000,-55988.62109375,1.0103399753570557,1093.1778564453125,2025-11-12 19:22:34.187330
0,30,8,0.01,1000,-125865720.0,1.0161057710647583,311.4311828613281,2025-11-12 19:23:42.444290
0,30,9,0.1,1000,-1680906880.0,1.0160785913467407,312.5401916503906,2025-11-12 19:24:52.185825
0,30,9,0.01,1000,-3234573824.0,1.0161020755767822,311.8359375,2025-11-12 19:25:24.745599
0,30,10,0.1,1000,-1494864256.0,1.0160632133483887,313.5969543457031,2025-11-12 19:26:42.056154
0,30,10,0.01,1000,-20943269888.0,1.0160919427871704,312.5738830566406,2025-11-12 19:27:58.159596
